run_id,version,artifact_version,suite,case_id,is_multiturn,case_failure_type,observed_mismatch,expected_tool,actual_tool,passed,routing_correct,args_correct,failures
v0_B_base_openai_20260602T191600990947,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v0_B_base_openai_20260602T191600990947,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v0_B_base_openai_20260602T191600990947,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v0_B_base_openai_20260602T191600990947,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v0_B_base_openai_20260602T191600990947,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_openai_20260602T191600990947,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v0_B_base_openai_20260602T191600990947,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v0_B_base_openai_20260602T191600990947,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R08_out_of_scope,False,out_of_scope,unexpected_tool_call,no_tool,send,False,False,False,expected no tool call
v0_B_base_openai_20260602T191600990947,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v0_B_base_openai_20260602T191600990947,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R10_missing_handle,False,missing_info,missing_tool_call,clarify,timeline,False,False,False,missing tool call clarify; extra tool call timeline
v0_B_base_openai_20260602T191600990947,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R11_missing_url,False,missing_info,missing_tool_call,clarify,fetch,False,False,False,missing tool call clarify; extra tool call fetch
v0_B_base_openai_20260602T191600990947,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R12_confirm_before_send,False,wrong_boundary,missing_tool_call,clarify,send,False,False,False,missing tool call clarify; extra tool call send
v0_B_base_openai_20260602T191600990947,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R13_parallel_web_and_tweets,False,wrong_tool,wrong_arg_value,lookup|social_search,lookup|social_search,False,True,False,"query: expected 'AI', got 'AI news'; topic: expected 'news', got None"
v0_B_base_openai_20260602T191600990947,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R14_out_of_scope_coding,False,out_of_scope,unexpected_tool_call,no_tool,send,False,False,False,expected no tool call
v0_B_base_openai_20260602T191600990947,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v0_B_base_openai_20260602T191600990947,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v0_B_base_openai_20260602T191600990947,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_openai_20260602T191600990947,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v0_B_base_openai_20260602T191600990947,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_openai_20260602T191600990947,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v1_B_base_openai_20260602T191851984966,v1,v1+p6146b80a7ff7+t6cdb53d5d7b8,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v1_B_base_openai_20260602T191851984966,v1,v1+p6146b80a7ff7+t6cdb53d5d7b8,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v1_B_base_openai_20260602T191851984966,v1,v1+p6146b80a7ff7+t6cdb53d5d7b8,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v1_B_base_openai_20260602T191851984966,v1,v1+p6146b80a7ff7+t6cdb53d5d7b8,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v1_B_base_openai_20260602T191851984966,v1,v1+p6146b80a7ff7+t6cdb53d5d7b8,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v1_B_base_openai_20260602T191851984966,v1,v1+p6146b80a7ff7+t6cdb53d5d7b8,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v1_B_base_openai_20260602T191851984966,v1,v1+p6146b80a7ff7+t6cdb53d5d7b8,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v1_B_base_openai_20260602T191851984966,v1,v1+p6146b80a7ff7+t6cdb53d5d7b8,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v1_B_base_openai_20260602T191851984966,v1,v1+p6146b80a7ff7+t6cdb53d5d7b8,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v1_B_base_openai_20260602T191851984966,v1,v1+p6146b80a7ff7+t6cdb53d5d7b8,base,R10_missing_handle,False,missing_info,missing_tool_call,clarify,social_search,False,False,False,missing tool call clarify; extra tool call social_search
v1_B_base_openai_20260602T191851984966,v1,v1+p6146b80a7ff7+t6cdb53d5d7b8,base,R11_missing_url,False,missing_info,wrong_arg_value,clarify,clarify,False,True,False,"response_type: expected 'text', got None"
v1_B_base_openai_20260602T191851984966,v1,v1+p6146b80a7ff7+t6cdb53d5d7b8,base,R12_confirm_before_send,False,wrong_boundary,,clarify,clarify,True,True,True,
v1_B_base_openai_20260602T191851984966,v1,v1+p6146b80a7ff7+t6cdb53d5d7b8,base,R13_parallel_web_and_tweets,False,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v1_B_base_openai_20260602T191851984966,v1,v1+p6146b80a7ff7+t6cdb53d5d7b8,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v1_B_base_openai_20260602T191851984966,v1,v1+p6146b80a7ff7+t6cdb53d5d7b8,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v1_B_base_openai_20260602T191851984966,v1,v1+p6146b80a7ff7+t6cdb53d5d7b8,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v1_B_base_openai_20260602T191851984966,v1,v1+p6146b80a7ff7+t6cdb53d5d7b8,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v1_B_base_openai_20260602T191851984966,v1,v1+p6146b80a7ff7+t6cdb53d5d7b8,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v1_B_base_openai_20260602T191851984966,v1,v1+p6146b80a7ff7+t6cdb53d5d7b8,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v1_B_base_openai_20260602T191851984966,v1,v1+p6146b80a7ff7+t6cdb53d5d7b8,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v2_B_base_openai_20260602T192144992703,v2,v2+p6146b80a7ff7+tdc9ca281dda3,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v2_B_base_openai_20260602T192144992703,v2,v2+p6146b80a7ff7+tdc9ca281dda3,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v2_B_base_openai_20260602T192144992703,v2,v2+p6146b80a7ff7+tdc9ca281dda3,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v2_B_base_openai_20260602T192144992703,v2,v2+p6146b80a7ff7+tdc9ca281dda3,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v2_B_base_openai_20260602T192144992703,v2,v2+p6146b80a7ff7+tdc9ca281dda3,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_base_openai_20260602T192144992703,v2,v2+p6146b80a7ff7+tdc9ca281dda3,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v2_B_base_openai_20260602T192144992703,v2,v2+p6146b80a7ff7+tdc9ca281dda3,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v2_B_base_openai_20260602T192144992703,v2,v2+p6146b80a7ff7+tdc9ca281dda3,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v2_B_base_openai_20260602T192144992703,v2,v2+p6146b80a7ff7+tdc9ca281dda3,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v2_B_base_openai_20260602T192144992703,v2,v2+p6146b80a7ff7+tdc9ca281dda3,base,R10_missing_handle,False,missing_info,missing_tool_call,clarify,social_search,False,False,False,missing tool call clarify; extra tool call social_search
v2_B_base_openai_20260602T192144992703,v2,v2+p6146b80a7ff7+tdc9ca281dda3,base,R11_missing_url,False,missing_info,,clarify,clarify,True,True,True,
v2_B_base_openai_20260602T192144992703,v2,v2+p6146b80a7ff7+tdc9ca281dda3,base,R12_confirm_before_send,False,wrong_boundary,,clarify,clarify,True,True,True,
v2_B_base_openai_20260602T192144992703,v2,v2+p6146b80a7ff7+tdc9ca281dda3,base,R13_parallel_web_and_tweets,False,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v2_B_base_openai_20260602T192144992703,v2,v2+p6146b80a7ff7+tdc9ca281dda3,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v2_B_base_openai_20260602T192144992703,v2,v2+p6146b80a7ff7+tdc9ca281dda3,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v2_B_base_openai_20260602T192144992703,v2,v2+p6146b80a7ff7+tdc9ca281dda3,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v2_B_base_openai_20260602T192144992703,v2,v2+p6146b80a7ff7+tdc9ca281dda3,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_base_openai_20260602T192144992703,v2,v2+p6146b80a7ff7+tdc9ca281dda3,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v2_B_base_openai_20260602T192144992703,v2,v2+p6146b80a7ff7+tdc9ca281dda3,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_base_openai_20260602T192144992703,v2,v2+p6146b80a7ff7+tdc9ca281dda3,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v3_B_base_openai_20260602T194029013166,v3,v3+p4b6186163885+tca4d465a43d4,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v3_B_base_openai_20260602T194029013166,v3,v3+p4b6186163885+tca4d465a43d4,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v3_B_base_openai_20260602T194029013166,v3,v3+p4b6186163885+tca4d465a43d4,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v3_B_base_openai_20260602T194029013166,v3,v3+p4b6186163885+tca4d465a43d4,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v3_B_base_openai_20260602T194029013166,v3,v3+p4b6186163885+tca4d465a43d4,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_base_openai_20260602T194029013166,v3,v3+p4b6186163885+tca4d465a43d4,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_base_openai_20260602T194029013166,v3,v3+p4b6186163885+tca4d465a43d4,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v3_B_base_openai_20260602T194029013166,v3,v3+p4b6186163885+tca4d465a43d4,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v3_B_base_openai_20260602T194029013166,v3,v3+p4b6186163885+tca4d465a43d4,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v3_B_base_openai_20260602T194029013166,v3,v3+p4b6186163885+tca4d465a43d4,base,R10_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v3_B_base_openai_20260602T194029013166,v3,v3+p4b6186163885+tca4d465a43d4,base,R11_missing_url,False,missing_info,,clarify,clarify,True,True,True,
v3_B_base_openai_20260602T194029013166,v3,v3+p4b6186163885+tca4d465a43d4,base,R12_confirm_before_send,False,wrong_boundary,,clarify,clarify,True,True,True,
v3_B_base_openai_20260602T194029013166,v3,v3+p4b6186163885+tca4d465a43d4,base,R13_parallel_web_and_tweets,False,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v3_B_base_openai_20260602T194029013166,v3,v3+p4b6186163885+tca4d465a43d4,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v3_B_base_openai_20260602T194029013166,v3,v3+p4b6186163885+tca4d465a43d4,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v3_B_base_openai_20260602T194029013166,v3,v3+p4b6186163885+tca4d465a43d4,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_base_openai_20260602T194029013166,v3,v3+p4b6186163885+tca4d465a43d4,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_base_openai_20260602T194029013166,v3,v3+p4b6186163885+tca4d465a43d4,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v3_B_base_openai_20260602T194029013166,v3,v3+p4b6186163885+tca4d465a43d4,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_base_openai_20260602T194029013166,v3,v3+p4b6186163885+tca4d465a43d4,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v3_B_extension_openai_20260602T193949418823,v3,v3+p4b6186163885+tca4d465a43d4,extension,E01_company_source_policy,False,wrong_tool,,policy,policy,True,True,True,
v3_B_extension_openai_20260602T193949418823,v3,v3+p4b6186163885+tca4d465a43d4,extension,E02_company_data_privacy,False,wrong_tool,,policy,policy,True,True,True,
v3_B_extension_openai_20260602T193949418823,v3,v3+p4b6186163885+tca4d465a43d4,extension,E03_company_telegram_approval,False,wrong_tool,,policy,policy,True,True,True,
v3_B_extension_openai_20260602T193949418823,v3,v3+p4b6186163885+tca4d465a43d4,extension,E04_arxiv_search_topic,False,wrong_tool,,papers,papers,True,True,True,
v3_B_extension_openai_20260602T193949418823,v3,v3+p4b6186163885+tca4d465a43d4,extension,E05_arxiv_paper_text,False,wrong_tool,,paper_text,paper_text,True,True,True,
v3_B_extension_openai_20260602T193949418823,v3,v3+p4b6186163885+tca4d465a43d4,extension,E06_briefing_live_plus_style,False,wrong_tool,,lookup|policy,lookup|policy,True,True,True,
v3_B_extension_openai_20260602T193949418823,v3,v3+p4b6186163885+tca4d465a43d4,extension,E07_paper_scan_template_plus_arxiv,False,wrong_tool,,papers|policy,papers|policy,True,True,True,
v3_B_extension_openai_20260602T193949418823,v3,v3+p4b6186163885+tca4d465a43d4,extension,E08_specific_url_not_arxiv,False,wrong_tool,,fetch|policy,fetch|policy,True,True,True,
v3_B_extension_openai_20260602T193949418823,v3,v3+p4b6186163885+tca4d465a43d4,extension,E09_two_links_parallel,False,wrong_tool,,fetch|fetch,fetch|fetch,True,True,True,
v3_B_extension_openai_20260602T193949418823,v3,v3+p4b6186163885+tca4d465a43d4,extension,E10_arxiv_research_search,False,wrong_tool,,papers,papers,True,True,True,
v3_B_group_openai_20260602T193944017601,v3,v3+p4b6186163885+tca4d465a43d4,group,G01_extract_urls_single,False,wrong_tool,,url_extract,url_extract,True,True,True,
v3_B_group_openai_20260602T193944017601,v3,v3+p4b6186163885+tca4d465a43d4,group,G02_source_audit_single,False,wrong_tool,,source_audit,source_audit,True,True,True,
v3_B_group_openai_20260602T193944017601,v3,v3+p4b6186163885+tca4d465a43d4,group,G03_glossary_single,False,wrong_tool,,glossary,glossary,True,True,True,
v3_B_group_openai_20260602T193944017601,v3,v3+p4b6186163885+tca4d465a43d4,group,G04_metric_compare_single,False,wrong_tool,,research_metric_compare,research_metric_compare,True,True,True,
v3_B_group_openai_20260602T193944017601,v3,v3+p4b6186163885+tca4d465a43d4,group,G05_send_requires_confirmation_single,False,wrong_boundary,,clarify,clarify,True,True,True,
v3_B_group_openai_20260602T193944017601,v3,v3+p4b6186163885+tca4d465a43d4,group,G06_multiturn_missing_handle_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v3_B_group_openai_20260602T193944017601,v3,v3+p4b6186163885+tca4d465a43d4,group,G07_multiturn_missing_url_then_fetch,True,missing_info,,fetch,fetch,True,True,True,
v3_B_group_openai_20260602T193944017601,v3,v3+p4b6186163885+tca4d465a43d4,group,G08_multiturn_switch_social_to_web,True,wrong_tool,,lookup,lookup,True,True,True,
v3_B_group_openai_20260602T193944017601,v3,v3+p4b6186163885+tca4d465a43d4,group,G09_multiturn_glossary_refine,True,wrong_tool,,glossary,glossary,True,True,True,
v3_B_group_openai_20260602T193944017601,v3,v3+p4b6186163885+tca4d465a43d4,group,G10_multiturn_source_audit_after_url,True,wrong_tool,,source_audit,source_audit,True,True,True,
